guessed,id,cert,true,notes
nl,161362.xml,0.501039981842041,nl,
nl,32742.xml,0.5012999176979065,nl,
nl,19944.xml,0.5015830993652344,nl,
nl,24539.xml,0.50193190574646,nl,
nl,7013.xml,0.501963198184967,nl,
nl,20040.xml,0.5019885301589966,nl,
nl,188415.xml,0.502158522605896,nl,
nl,1871.xml,0.5022907853126526,nl,
nl,17813.xml,0.5025544166564941,nl,
nl,184612.xml,0.5028079748153687,nl,
nl,36720.xml,0.5030367374420166,nl,
nl,35906.xml,0.5031564831733704,nl,
nl,6879.xml,0.5032554864883423,nl,
nl,3637.xml,0.5034329891204834,nl,
nl,3616.xml,0.503922700881958,nl,
nl,14360.xml,0.5040873885154724,nl,
nl,150582.xml,0.5043725967407227,nl,
nl,34268.xml,0.5044882893562317,nl,
nl,13532.xml,0.5045833587646484,nl,
nl,26743.xml,0.5049173831939697,nl,
nl,186356.xml,0.5051069855690002,nl,
de,25415.xml,0.5055553317070007,nl,
nl,23555.xml,0.5060264468193054,nl,
nl,30130.xml,0.5060767531394958,nl,
nl,19060.xml,0.5062764286994934,nl,
nl,3526.xml,0.5067140460014343,nl,
nl,184897.xml,0.5070077180862427,nl,
nl,35973.xml,0.5071418285369873,nl,
nl,40818.xml,0.5078381299972534,nl,
nl,3611.xml,0.5078886151313782,nl,
nl,104055.xml,0.5080311894416809,nl,
nl,19338.xml,0.5080399513244629,nl,
nl,34112.xml,0.5081179738044739,nl,
nl,10223.xml,0.5083166360855103,nl,
nl,185820.xml,0.5084725618362427,nl,
nl,26753.xml,0.5085585117340088,nl,
nl,16245.xml,0.5088474154472351,nl,
nl,191649.xml,0.5096623301506042,nl,
nl,34088.xml,0.5097761154174805,nl,
nl,123419.xml,0.5100834369659424,nl,
nl,14142.xml,0.51021808385849,nl,
nl,33526.xml,0.5105907917022705,nl,
nl,184836.xml,0.5106174945831299,nl,
nl,12035.xml,0.5106565356254578,nl,
nl,12034.xml,0.511130690574646,nl,
nl,115729.xml,0.511135458946228,nl,
nl,2454.xml,0.5116142630577087,nl,
nl,10984.xml,0.5120764970779419,nl,
de,25438.xml,0.5122647285461426,nl,
nl,35963.xml,0.5122732520103455,nl,
nl,36624.xml,0.5124186873435974,nl,
nl,158486.xml,0.5127214789390564,nl,
nl,14603.xml,0.5127830505371094,nl,
nl,23570.xml,0.5128113031387329,nl,
nl,8902.xml,0.5129098892211914,nl,
nl,6884.xml,0.5133455991744995,nl,
nl,34057.xml,0.5134248733520508,nl,
nl,11578.xml,0.5134772062301636,nl,
nl,192646.xml,0.513587236404419,nl,
nl,10393.xml,0.5136533379554749,nl,
nl,184878.xml,0.5138830542564392,nl,
nl,184792.xml,0.5141147971153259,nl,
nl,184827.xml,0.5142309069633484,nl,
nl,192655.xml,0.5142607688903809,nl,
nl,30082.xml,0.5143546462059021,nl,
nl,34559.xml,0.5145424604415894,nl,
nl,3714.xml,0.5148013234138489,nl,
nl,113568.xml,0.5151386260986328,nl,
nl,26013.xml,0.515561044216156,nl,
nl,34149.xml,0.5156622529029846,nl,
nl,184783.xml,0.5156888365745544,nl,
nl,153521.xml,0.5158267617225647,nl,
nl,36694.xml,0.5163967609405518,nl,
nl,6749.xml,0.5164192914962769,nl,
nl,27087.xml,0.5165098309516907,nl,
nl,34145.xml,0.516552746295929,nl,
nl,185866.xml,0.5167089104652405,nl,
nl,20201.xml,0.5171495676040649,nl,
nl,114162.xml,0.5171903371810913,nl,
nl,32850.xml,0.5183716416358948,nl,
